Column1,Column2
Red Wine Supernova,Chappell Roan
Dive,Olivia Dean
Not OK,Robert Grace
Not OK,Robert Grace
Just a Friend,Jordi
Run,Maisie Peters
Sneakers,Knox
HOT TO GO!,Chappell Roan
QUARTER LIFE CRISIS,Taylor Bickett
FU In My Head,Cloudy June
Sandman,Tai Verdes
Fantasy (with GAYLE & Em Beihold),Lauren Spencer Smith
Girl Like Me,Dove Cameron
the alternative,Lyn Lapid
Why Can’t I Have Two? (2468),Caity Baser
Ultraviolet,Aidan Bissett
VICIOUS,Thomas Day
Confetti,Charlotte Cardin
Gracie,Will Linley
Coffee Shop,flowerovlove
Mr. Percocet,Noah Cyrus
Midnight,Bow Anderson
Prescription,Remi Wolf
Halo,Beyoncé
Your Song,Elton John
Make You Feel My Love,Adele
Unchained Melody,The Righteous Brothers
It's All Coming Back to Me Now - Radio Version,Céline Dion
Stand by Me,Ben E. King
At Last,Etta James
Tennessee Whiskey,Chris Stapleton
I Try,Macy Gray
Let's Stay Together,Al Green
Out Of Reach,GABRIELLE
My Girl,The Temptations
This Year's Love,David Gray
L-O-V-E,Nat King Cole
Can't Help Falling in Love,Elvis Presley
Baby Can I Hold You,Tracy Chapman
Kiss from a Rose,Seal
How Long Will I Love You,Ellie Goulding
Bleeding Love,Leona Lewis
"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack",Aerosmith
Kiss Me,Sixpence None The Richer
Nothing Compares 2 U,Sinéad O'Connor
Iris,The Goo Goo Dolls
When You Say Nothing At All,Ronan Keating
Time After Time,Cyndi Lauper
Wonderful Tonight,Eric Clapton
Hero,Enrique Iglesias
Turn Me On,Norah Jones
Beyond,Leon Bridges
Put Your Records On,Corinne Bailey Rae
My Love Is Your Love,Whitney Houston
You Are So Beautiful,Joe Cocker
No One,Alicia Keys
Every Breath You Take,The Police
Total Eclipse of the Heart,Bonnie Tyler
When a Man Loves a Woman - 2000 Remaster,Percy Sledge
I'll Stand by You,Pretenders
(Everything I Do) I Do It For You,Bryan Adams
Angels - 2004 Mix,Robbie Williams
Eternal Flame,The Bangles
Can You Feel The Love Tonight,Elton John
"My Heart Will Go On - Love Theme from ""Titanic""",Céline Dion
Truly Madly Deeply,Savage Garden
She's Always a Woman,Billy Joel
Warwick Avenue,Duffy
Fast Car,Tracy Chapman
I Have Nothing,Whitney Houston
We Belong Together,Mariah Carey
Take My Breath Away,Berlin
"Valerie - Live At BBC Radio 1 Live Lounge, London / 2007",Amy Winehouse
Save Tonight,Eagle-Eye Cherry
You Make It Real,James Morrison
Take Me Home,Jess Glynne
I Swear,All-4-One
Careless Whisper,George Michael
You're Still The One,Shania Twain
With Or Without You,U2
"Free Fallin' - Live at the Nokia Theatre, Los Angeles, CA - December 2007",John Mayer
Purple Rain,Prince
Last Request,Paolo Nutini
I Want to Know What Love Is - 1999 Remaster,Foreigner
Be My Baby,The Ronettes
Killing Me Softly With His Song,Roberta Flack
(Sittin' On) the Dock of the Bay,Otis Redding
Ordinary People,John Legend
Sexual Healing,Marvin Gaye
Ain't No Sunshine,Bill Withers
I Say a Little Prayer,Aretha Franklin
A Thousand Miles,Vanessa Carlton
Heaven,Bryan Adams
Mandy,Barry Manilow
"Endless Love - From ""The Endless Love"" Soundtrack",Lionel Richie
Without You,Mariah Carey
Lay Me Down - Single Version,Sam Smith
Just Be,Paloma Faith
Nothing's Gonna Change My Love for You,George Benson
I'll Make Love To You,Boyz II Men
Saving All My Love for You,Whitney Houston
True - Single Edit,Spandau Ballet
How Do I Live,LeAnn Rimes
Back for Good - Radio Mix,Take That
You And Me,Lifehouse
Babylon,David Gray
"You're The First, The Last, My Everything - Single Version",Barry White
Losing My Religion,R.E.M.
Under the Bridge,Red Hot Chili Peppers
Fade Into You,Mazzy Star
Good Riddance (Time of Your Life),Green Day
Wind Of Change,Scorpions
Linger,The Cranberries
Don't Speak,No Doubt
Killing Me Softly With His Song,Fugees
Don't Cry (Original),Guns N' Roses
Wonderwall - Remastered,Oasis
One,U2
No Rain,Blind Melon
Always,Bon Jovi
"I Don't Want To Miss A Thing - From ""Armageddon"" Soundtrack",Aerosmith
Thank You,Dido
Everybody Hurts,R.E.M.
It Ain't Over 'Til It's Over,Lenny Kravitz
Ordinary World,Duran Duran
Fields Of Gold,Sting
Bed Of Roses,Bon Jovi
Always Be My Baby,Mariah Carey
"Because You Loved Me (Theme from ""Up Close and Personal"")",Céline Dion
Shape Of My Heart,Sting
Streets of Philadelphia - Single Edit,Bruce Springsteen
It's All Coming Back to Me Now,Céline Dion
Teardrop,Massive Attack
End Of The Road,Boyz II Men
Ode To My Family,The Cranberries
I Knew I Loved You,Savage Garden
"Love Is All Around - From ""Four Weddings And A Funeral""",Wet Wet Wet
All My Life,K-Ci & JoJo
Nothing Else Matters (Remastered),Metallica
The Power of Love,Céline Dion
Something In The Way,Nirvana
Walking in Memphis,Marc Cohn
"Have You Ever Really Loved A Woman? - From ""Don Juan DeMarco"" Soundtrack",Bryan Adams
(I Can't Help) Falling In Love With You,UB40
Weather With You,Crowded House
Amazed,Lonestar
Send Me An Angel,Scorpions
Show Me the Meaning of Being Lonely,Backstreet Boys
Tears in Heaven,Eric Clapton
Back At One,Brian McKnight
Un-Break My Heart,Toni Braxton
"Mama, I'm Coming Home",Ozzy Osbourne
One Sweet Day,Mariah Carey
Heal the World,Michael Jackson
Tears in Heaven - Acoustic Live,Eric Clapton
Candle In The Wind - Remastered 2014,Elton John
When a Man Loves a Woman,Michael Bolton
All By Myself,Céline Dion
No Ordinary Love,Sade
Mmm Mmm Mmm Mmm,Crash Test Dummies
All for Love,Rod Stewart
She's The One,Robbie Williams
Maria Maria,Santana
"Baby, I Love Your Way",Big Mountain
Now And Forever,Richard Marx
One Of Us,Joan Osborne
My All,Mariah Carey
When You Believe - from The Prince of Egypt,Whitney Houston
Here With Me,Dido
2 Become 1,Spice Girls
Save The Best For Last,Vanessa Williams
That's Why You Go Away,Michael Learns To Rock
Just Another Day,Jon Secada
Still Got The Blues,Gary Moore
More Than Words,Extreme
Change the World,Eric Clapton
Amazing,Aerosmith
'74-'75,The Connells
Don't Let the Sun Go Down on Me,George Michael
Cats In The Cradle,Ugly Kid Joe
Say What You Want,Texas
Swear It Again - Radio Edit,Westlife
You,Ten Sharp
To Be With You - 2010 Remastered Version,Mr. Big
Erase / Rewind,The Cardigans
Said I Loved You...But I Lied,Michael Bolton
Endless Love,Luther Vandross
Have I Told You Lately - 2008 Remaster,Rod Stewart
Lose Control,Teddy Swims
Life Goes On (feat. Luke Combs),Ed Sheeran
Burn,Tom Walker
Empty Room,Jamie Miller
My Love (feat. Ayra Starr),Leigh-Anne
Some Things I'll Never Know,Teddy Swims
Mirage - for Assassin's Creed Mirage,OneRepublic
Dead Man,David Kushner
Everyone Who Falls In Love (Has Someone Else They’re Thinking Of),Cian Ducrot
I Drink Wine,Adele
Life On The Moon,Duncan Laurence
For The Both of Us,Dan + Shay
Hey Driver (feat. The War and Treaty),Zach Bryan
Doesn’t Do Me Any Good,Stephen Sanchez
Eve,Precious Pepala
Before You,Tom Grennan
I'm Here,Matteo Bocelli
No Matter What,Jamie Miller
I Can Feel It,Kane Brown
you don’t make me cry (feat. River Rose),Kelly Clarkson
Learning To Fly,Christina Aguilera
I Do,Duncan Laurence
Little Blue (feat. Brandi Carlile),Jacob Collier
Overdrive,Post Malone
Give You Love (feat. Jason Derulo),Jessica Mauboy
Anywhere,JP Saxe
Galileo Galilei,Aden Foyer
Forever and Ever and Always,Ryan Mack
Beautiful,Sam Smith
We Should Get Married,Dan + Shay
Don't Forget Me,Dermot Kennedy
Still Have Love For You,Zak Abel
Expensive (with Pentatonix),Andy Grammer
break my bones,Matt Hansen
Seasons,Thirty Seconds To Mars
21 Days,Lauren Daigle
RUNAWAY,OneRepublic
Blindside,James Arthur
Shotgun Rider,Patrick Droney
One On The Way,Jake Scott
Feel Good,Charlotte Cardin
Damage Gets Done (feat. Brandi Carlile),Hozier
Be Okay,Lauren Daigle
For the Best,Ryan Mack
When I Get There,P!nk
UNHEALTHY (feat. Shania Twain),Anne-Marie
find it,Wrabel
Lightning,Zoe Wees
Beside You,James Blunt
Heaven,Cian Ducrot
End Of Youth,Ed Sheeran
Fought & Lost (feat. Brian May),Sam Ryder
Driving,Tyler Shaw
The Hardest Part (feat. Leon Bridges),Olivia Dean
Thousand Miles (feat. Brandi Carlile),Miley Cyrus
Who We Love (feat. Ed Sheeran),Sam Smith
Goodbye Never Felt So Bad,James Bay
Monster Brain,Mia Wray
Skeleton,Paravi
Chicken Little,Spencer Sutherland
Uneasy (feat. Lil Wayne),Jon Batiste
The Roads,Jonah Kagen
Summer Baby,Jonas Brothers
I Choose You,Forest Blakk
Hope This Song Is For You (From the Netflix Film ‘A Beautiful Life’),Christopher
you don't love me anymore,Cat Burns
Drink Water (feat. Jon Bellion and Fireboy DML),Jon Batiste
A Little Bit Happy,TALK
Caroline,Patrick Droney
Woman,Zak Abel
Rocketship,Llunr
Kissing Strangers,Berre
The Pretender,Lewis Capaldi
Strange,Alicia Creti
Happy People (with Teddy Swims & Jac Ross),X Ambassadors
Queen of New York City,Matchbox Twenty
For You,Matteo Bocelli
Better Man,Sekou
These Are The Days,Lauren Daigle
Call Me Maybe,Carly Rae Jepsen
Shake It Off,Taylor Swift
Starships,Nicki Minaj
Umbrella,Rihanna
Stronger (What Doesn't Kill You),Kelly Clarkson
I Kissed A Girl,Katy Perry
22 (Taylor's Version),Taylor Swift
Work from Home (feat. Ty Dolla $ign),Fifth Harmony
Just Dance,Lady Gaga
SexyBack (feat. Timbaland),Justin Timberlake
She Looks So Perfect,5 Seconds of Summer
Best Song Ever,One Direction
Run Away With Me,Carly Rae Jepsen
24K Magic,Bruno Mars
I Love It (feat. Charli XCX),Icona Pop
Shout Out to My Ex,Little Mix
Maneater - Radio Version,Nelly Furtado
We Are Never Ever Getting Back Together (Taylor's Version),Taylor Swift
Domino,Jessie J
I Gotta Feeling,Black Eyed Peas
Dynamite,Taio Cruz
Run the World (Girls),Beyoncé
We Can't Stop,Miley Cyrus
Since U Been Gone,Kelly Clarkson
Dance with Me Tonight,Olly Murs
Memories (feat. Kid Cudi),David Guetta
Glad You Came,The Wanted
I Like It,Cardi B
Price Tag,Jessie J
American Boy,Estelle
I Knew You Were Trouble (Taylor's Version),Taylor Swift
Good as Hell (feat. Ariana Grande) - Remix,Lizzo
Telephone,Lady Gaga
Good Time,Owl City
All About That Bass,Meghan Trainor
Boom Clap,Charli XCX
Single Ladies (Put a Ring on It),Beyoncé
Ridin' Solo,Jason Derulo
Love Me Again,John Newman
Steal My Girl,One Direction
Ghost,Ella Henderson
Born This Way,Lady Gaga
Rude Boy,Rihanna
Ain't Your Mama,Jennifer Lopez
Fight For This Love,Cheryl
Superstar,Jamelia
Boss Bitch,Doja Cat
Birthday,Katy Perry
We R Who We R,Kesha
All About Tonight,Pixie Lott
History,One Direction
How We Do (Party),Rita Ora
It Girl,Jason Derulo
Anti-Hero,The Mayries
Use Somebody,Isaac Hale
Back to Black,Sky Garden
Nutshell,Francis Nola
Complicated,Ben & Tim
Still The One,Andrew Galucki
Landslide,Cattle & Cane
love on the weekend,love & back
Anyone,Bailey Jehl
Accidentally In Love,City Sessions
Hell N Back,Cheyenne Mitchell
The Impression That I Get,Jenny Thorn
Don't You (Forget About Me),Brassfield
One,M.I.R.K
Overpass Graffiti,The Mayries
Blank Space - Acoustic,Scottie
So Hot You're Hurting My Feelings - Acoustic,Stevie Appleton
Say you won't let go,Beatrice
Barbie Girl,Jill & Jane
Hang with Me (Acoustic),Fox & Hart
Latch,Mel & Macy
breakeven,middle of june
A Long December,Los Types
When I Get There,Brandon Chase
Boat,Kelsey Hodge
Heaven,Claire McCarty
Better Now (Acoustic),Kim & Otto
WHAT THE HELL ARE WE DYING FOR?,Macy Ellen
see you soon,JML
Big Girls Don't Cry,Nelly Hope
I like me better,middle of june
I Was Never There,Parker Clair
Lavender Haze,The Mayries
Chemical,Abbie Parker
Bless the Broken Road,Dylan Brady
Circles,Simon Sage
Body like backroad,Samuel Pine
All Star - Acoustic,Nelly Hope
Girls Just Want To Have Fun - Acoustic,Callum J Wright
Little Lies,Roses & Frey
BLACKBIRD,JML
Home / Dirty Paws,Gardiner Sisters
Desperado,Sarah Kristine
she's all i wanna be,who's heather
Listen to Your Heart,Grey Grey
Girls Like You,Scottie
All I Want,Rosebud Nash
I don't care,Beatrice
Angel,Brent Morgan
Heat Waves,Bailey Jehl
Too Good At Goodbyes,Beatrice
Stay with me,Linus Svenning
Lift Me Up,WestSouth
Forget Me,Jessy Hayden
Eyes Closed,OSIS
Here With Me,Mia Rainn
Sweet Nothing,Sighting
Sex is on fire,Isaac Hale
Yellow (Acoustic Cover),Penny Sweet
Got You (Where I Want You),Marta Jobim
Call Me Maybe - Acoustic,Scottie
Light On - Acoustic,Jessy Hayden
Let Me Get Close To You,Roberta Loki
Mr. Brightside,Bailey Jehl
Never Gonna Give You Up - Acoustic,Nelly Hope
Kiss An Angel Good Mornin',Xochi Krausse
Out Of My Head And Back In My Bed,Eloise Freud
Love Or Something Like It,Jenny Thorn
Half the World Away (Acoustic Version),Joanie Loves Chachi
The One I Love,Aurelia Goldspark
Grow as We Go,Finding Us
I Ain't Worried,Mother's Daughter
Save Me From Myself,Julien Manaud
When You Love Someone - Acoustic,James TW
Crazy Love,Xochi Krausse
I'm On Fire,Lúc
Good 4 U (Acoustic),Jonah Baker
drivers license,Thomas Daniel
Pillow Talk (Acoustic),POOL KIDS
Because the Night,Lúc
Here I Go Again - Acoustic,VDVM
Hey Ya! - Acoustic,Callum J Wright
Redbone,Isaac Hale
Call Me Maybe,Graham Carter
Always Be My Baby,Luke Antony
My Girl,Laura Zocca
Hey There Delilah,stories
Dust in the Wind,KRIYA
First Date - Acoustic,Taylor Acorn
What Makes You Beautiful,John Buckley
Someone You Loved,SixForty1
Bad Habits,Victoria Voss
Take on Me,Boyce Avenue
Watermelon Sugar - Acoustic,Jonah Baker
Make You Feel My Love,Redah
Hold On,Lydia Laird
Have You Ever Seen the Rain - Acoustic,Bailey Rushlow
Baby,Music Travel Love
Say,The Albertson Duo
Glycerine,Nicole Morenno
Daydreamin',Ariana Grande
Alone,Alan Walker
Honeymoon Avenue,Ariana Grande
That's My Girl,Fifth Harmony
You Da One,Rihanna
Addicted To You,Avicii
Kiss You,One Direction
Me Too,Meghan Trainor
everytime,Ariana Grande
Cherry,Harry Styles
Dive,Ed Sheeran
Gorgeous,Taylor Swift
Baby I,Ariana Grande
Us,James Bay
Love Never Felt So Good,Michael Jackson
Sorry,Halsey
Bloody Mary,Lady Gaga
This Is Why We Can't Have Nice Things,Taylor Swift
Harleys In Hawaii,Katy Perry
"Sunflower, Vol. 6",Harry Styles
Tattooed Heart,Ariana Grande
All I Ask,Adele
Hurts So Good,Astrid S
Tonight Tonight,Hot Chelle Rae
Jealous,Nick Jonas
Thumbs,Sabrina Carpenter
All We Know,The Chainsmokers
Perfect Places,Lorde
Alaska,Maggie Rogers
Brave,Sara Bareilles
Treat People With Kindness,Harry Styles
Crying in the Club,Camila Cabello
I Think I'm In Love,Kat Dahlia
Toothbrush,DNCE
Colors,Halsey
Hundred Miles,Yall
Runnin' (Lose It All),Naughty Boy
Please Don't Go,Mike Posner
Welcome To New York,Taylor Swift
Mama Said,Lukas Graham
Gorilla,Bruno Mars
"When Can I See You Again? - From ""Wreck-It Ralph""/Soundtrack Version",Owl City
Make It Right (feat. Lauv),BTS
Nobody's Business,Rihanna
What Do I Know?,Ed Sheeran
Young Girls,Bruno Mars
Purpose,Justin Bieber
A Different Way (with Lauv),DJ Snake
Bon Appétit,Katy Perry
Nightmare,Halsey
Wild Things,Alessia Cara
How Would You Feel (Paean),Ed Sheeran
Calling All My Lovelies,Bruno Mars
Turning Tables,Adele
Swish Swish,Katy Perry
American Teen,Khalid
Make Me (Cry),Noah Cyrus
Ghost Town,Adam Lambert
Bloodstream,Ed Sheeran
I Could Use a Love Song,Maren Morris
Remind Me to Forget,Kygo
The Cure,Lady Gaga
Play That Song,Train
The Love Club,Lorde
Shelter,Porter Robinson
Brighter Than The Sun,Colbie Caillat
Somebody To You,The Vamps
Bird Set Free,Sia
Stand By You,Rachel Platten
Rock Bottom,Hailee Steinfeld
Heartbeat Song,Kelly Clarkson
Good Grief,Bastille
Latch - Acoustic,Sam Smith
Drunk,Ed Sheeran
Tell Me You Love Me,Demi Lovato
What If I Never Get Over You,Lady A
Lights - Single Version,Ellie Goulding
I Got You,Bebe Rexha
Home,Dotan
You Said You'd Grow Old With Me,Michael Schulte
Pierre,Ryn Weaver
Rise,Katy Perry
Runnin',Adam Lambert
Africa,TOTO
Careless Whisper,George Michael
Everywhere - 2017 Remaster,Fleetwood Mac
You Make My Dreams (Come True),Daryl Hall & John Oates
Free Fallin',Tom Petty
Maneater,Daryl Hall & John Oates
Wicked Game,Chris Isaak
Bette Davis Eyes,Kim Carnes
I Still Haven't Found What I'm Looking For,U2
The Boys Of Summer,Don Henley
In The Air Tonight - 2015 Remastered,Phil Collins
Right Here Waiting,Richard Marx
The Lady In Red,Chris de Burgh
Don't Dream It's Over,Crowded House
I'm On Fire,Bruce Springsteen
Wanted Dead Or Alive,Bon Jovi
I Just Called To Say I Love You,Stevie Wonder
Another Day in Paradise - 2016 Remaster,Phil Collins
Alone,Heart
Just the Two of Us (feat. Bill Withers),"Grover Washington, Jr."
Little Lies - 2017 Remaster,Fleetwood Mac
Sacrifice,Elton John
You're the Inspiration - 2006 Remaster,Chicago
Red Red Wine,UB40
Against All Odds (Take a Look at Me Now) - 2016 Remaster,Phil Collins
Rosanna,TOTO
Can't Fight This Feeling,REO Speedwagon
Patience,Guns N' Roses
Forever Young,Alphaville
Glory of Love,Peter Cetera
Sexual Healing,Marvin Gaye
Waiting for a Girl like You,Foreigner
If You Don't Know Me by Now - 2008 Remaster,Simply Red
Black Velvet,Alannah Myles
Words - Original Version 1983,F.R. David
All Out of Love,Air Supply
Eye In The Sky,The Alan Parsons Project
What's Love Got to Do with It,Tina Turner
Missing You,John Waite
Arthur's Theme (Best That You Can Do),Christopher Cross
True Colors,Cyndi Lauper
"Say You, Say Me",Lionel Richie
I'll Be Over You,TOTO
Woman - Remastered 2010,John Lennon
Broken Wings,Mr. Mister
Carrie,Europe
I Guess That's Why They Call It The Blues,Elton John
How Am I Supposed to Live Without You,Michael Bolton
Hysteria,Def Leppard
Every Time You Go Away - Radio Edit,Paul Young
Just the Two of Us,"Grover Washington, Jr."
Don't Worry Be Happy,Bobby McFerrin
The Way It Is,Bruce Hornsby
Woman in Love,Barbra Streisand
Holding Back the Years - 2008 Remaster,Simply Red
Slave To Love - Remastered 1999,Bryan Ferry
I'll Be There For You,Bon Jovi
One More Night - 2016 Remaster,Phil Collins
Nikita,Elton John
Greatest Love of All,Whitney Houston
More Than This,Roxy Music
Do You Really Want To Hurt Me,Culture Club
Straight From The Heart,Bryan Adams
Cherish - Single Version,Kool & The Gang
"She's Like the Wind - From ""Dirty Dancing"" Soundtrack",Patrick Swayze
Drive,The Cars
Man in the Mirror - 2012 Remaster,Michael Jackson
A Groovy Kind of Love,Phil Collins
Wonderful Life,Black
I Keep Forgettin' (Every Time You're Near),Michael McDonald
Lost in Your Eyes,Debbie Gibson
We've Got Tonight,Kenny Rogers
We Are The World,U.S.A. For Africa
Human Nature,Michael Jackson
Alive And Kicking,Simple Minds
I Don't Wanna Lose You,Tina Turner
Where Do Broken Hearts Go,Whitney Houston
Biggest Part of Me,Ambrosia
These Dreams,Heart
I Got You Babe,UB40
Woman In Chains,Tears For Fears
Nightshift,Commodores
Tonight I Celebrate My Love,Peabo Bryson
Guilty (feat. Barry Gibb),Barbra Streisand
La Isla Bonita,Madonna
Fragile,Sting
Ribs,Lorde
Dark Red,Steve Lacy
Love It If We Made It,The 1975
Show Me How,Men I Trust
Simulation Swarm,Big Thief
Bags,Clairo
I Love You So,The Walters
we fell in love in october,girl in red
Softcore,The Neighbourhood
Right Side of My Neck,Faye Webster
Where Is My Mind? - Remastered,Pixies
What Once Was,Her's
Bad Habit,Steve Lacy
Jealous,Eyedress
Duvet,bôa
rises the moon,Liana Flores
Washing Machine Heart,Mitski
No Surprises,Radiohead
Chamber Of Reflection,Mac DeMarco
Notion,The Rare Occasions
Brooklyn Baby,Lana Del Rey
Babydoll,Dominic Fike
Young,Vacations
Little Dark Age,MGMT
Are You Bored Yet? (feat. Clairo),Wallows
I Can't Handle Change,Roar
Always Forever,Cults
Good Looking,Suki Waterhouse
Tongue Tied,GROUPLOVE
It's Called: Freefall,Rainbow Kitten Surprise
K.,Cigarettes After Sex
The Adults Are Talking,The Strokes
the perfect pair,beabadoobee
Where'd All the Time Go?,Dr. Dog
Gilded Lily,Cults
Kingston,Faye Webster
Paper Planes,M.I.A.
Pluto Projector,Rex Orange County
Cloud 9,Beach Bunny
Sunsetz,Cigarettes After Sex
Eventually,Tame Impala
First Love/Late Spring,Mitski
YEAH RIGHT,Joji
Young Folks,Peter Bjorn and John
Reptilia,The Strokes
Chanel,Frank Ocean
Goodie Bag,Still Woozy
Meet Me At Our Spot,THE ANXIETY
Nobody,Mitski
Kilby Girl,The Backseat Lovers
Sweet,Cigarettes After Sex
Best Friend,Rex Orange County
Float On,Modest Mouse
Homage,Mild High Club
Devil Town,Cavetown
Feels Like We Only Go Backwards,Tame Impala
Texas Sun,Khruangbin
Me and My Husband,Mitski
bad idea!,girl in red
Beige,Yoke Lore
What You Know,Two Door Cinema Club
Sanctuary,Joji
New Slang - 2021 Remaster,The Shins
4EVER,Clairo
Lover Is a Day,Cuco
Phone Numbers,Dominic Fike
Stargazing,The Neighbourhood
I Know The End,Phoebe Bridgers
1901,Phoenix
Weird Fishes/ Arpeggi,Radiohead
Mariners Apartment Complex,Lana Del Rey
Breezeblocks,alt-J
Supercut,Lorde
Time to Pretend,MGMT
Midnight City,M83
Real Love Baby,Father John Misty
Skinny Love,Bon Iver
Loving Is Easy,Rex Orange County
Heavenly,Cigarettes After Sex
The Funeral,Band of Horses
Kyoto,Phoebe Bridgers
Amoeba,Clairo
Trouble,Cage The Elephant
Perfect Day,Lou Reed
Train in Vain (Stand by Me) - Remastered,The Clash
Roxanne,The Police
This Charming Man - 2011 Remaster,The Smiths
Blue Monday,New Order
I Love Rock 'N Roll,Joan Jett & the Blackhearts
The Killing Moon,Echo & the Bunnymen
Walk On the Wild Side,Lou Reed
Lullaby,Low
There Is a Light That Never Goes Out - 2011 Remaster,The Smiths
Psycho Killer - 2005 Remaster,Talking Heads
Step On Me,The Cardigans
Just What I Needed,The Cars
London Calling - Remastered,The Clash
I Wanna Be Sedated,Ramones
Blister In The Sun,Violent Femmes
Laid,James
Mad World,Tears For Fears
Disorder - 2007 Remaster,Joy Division
Goo Goo Muck,The Cramps
Common People - Full Length Version,Pulp
Hey,Pixies
Cherry-coloured Funk,Cocteau Twins
Town Called Malice,The Jam
Once in a Lifetime - 2005 Remaster,Talking Heads
Cannonball,The Breeders
I Wanna Be Adored - Remastered,The Stone Roses
Deceptacon,Le Tigre
Age of Consent - 2015 Remaster,New Order
Ever Fallen in Love (With Someone You Shouldn't've?) - 1996 Remastered Version,Buzzcocks
Lust For Life,Iggy Pop
Ashes to Ashes - 2017 Remaster,David Bowie
Waiting Room,Fugazi
Girls on Film - 2010 Remaster,Duran Duran
These Days,Nico
Femme Fatale,The Velvet Underground
Mrs. Robinson - Remastered,The Lemonheads
Alison,Slowdive
Ghost Town,The Specials
Tempted,Squeeze
We Got The Beat,The Go-Go's
Tainted Love,Soft Cell
Personal Jesus - Original Single Version,Depeche Mode
Teen Age Riot (Album Version),Sonic Youth
The Passenger,Siouxsie and the Banshees
Pump It Up - 2021 Remaster,Elvis Costello & The Attractions
Anemone,The Brian Jonestown Massacre
Mony Mony - Downtown Mix / Remastered 2001,Billy Idol
Making Plans For Nigel,XTC
Call Me,Blondie
Feel the Pain,Dinosaur Jr.
Genius of Love,Tom Tom Club
I Wanna Be Your Dog,The Stooges
Electricity - Remastered 2003,Orchestral Manoeuvres In The Dark
Bela Lugosi's Dead (Official Version),Bauhaus
Sweet Jane - Full Length Version; 2015 Remaster,The Velvet Underground
She Don't Use Jelly,The Flaming Lips
Here's Where The Story Ends,The Sundays
Holiday in Cambodia,Dead Kennedys
Carry the Zero,Built To Spill
Save It For Later,The English Beat
Ooh La La - 2004 Remaster,Faces
Autumn Sweater,Yo La Tengo
Rock & Roll - Full Length Version; 2015 Remaster,The Velvet Underground
Love Will Tear Us Apart - 2010 Remaster,Joy Division
Because the Night,Patti Smith
The Lovecats,The Cure
Just Like Honey,The Jesus and Mary Chain
Heroin,The Velvet Underground
Wuthering Heights - 2018 Remaster,Kate Bush
Dear God - Remastered 2001,XTC
ONE MORE TIME,blink-182
Hold Me Like a Grudge,Fall Out Boy
HONEY (ARE U COMING?),Måneskin
Angry,The Rolling Stones
Under You,Foo Fighters
Overcome,Nothing But Thieves
Running Out Of Time,Paramore
Pull Me Through,Royal Blood
LosT,Bring Me The Horizon
Fake As Hell (with Avril Lavigne),All Time Low
Stuck,Thirty Seconds To Mars
Portrait of a Blank Slate,Lovejoy
Your Side of Town,The Killers
By The Time You're Reading This,YONAKA
Emergency Contact,Pierce The Veil
Just Pretend,Bad Omens
Paper Machete,Queens of the Stone Age
MARRY KILL F*CK//,KennyHoopla
ALL CAPS (feat. John the Ghost),Weathers
Meeting The Master,Greta Van Fleet
Psycho,Asking Alexandria
Invisible Hand,??? (Crosses)
Might Love Myself,Beartooth
Make It Out Alive,ONE OK ROCK
Lowlife,YUNGBLUD
Bogus Operandi,The Hives
New York,The Kills
Another Celebration at the End of the World,Mammoth WVH
The Narcissist,Blur
Not Strong Enough,boygenius
History Books (feat. Bruce Springsteen),The Gaslight Anthem
Nothing Matters,The Last Dinner Party
Too Good At Raising Hell,The Struts
Hollywood Baby,100 gecs
I Got Heaven,Mannequin Pussy
6 Pack and Cigarettes,ALEXSUCKS
Blame Brett,The Beaches
blame,The Maine
Salt,Teen Jesus and the Jean Teasers
Very High,Militarie Gun
Not Joking,The Front Bottoms
Spiral,ThxSoMch
Irish Goodbye (feat. Vic Fuentes of Pierce The Veil),K.Flay
GODDESS,PVRIS
Giving Up,The Used
beautiful waste,Beauty School Dropout
hot girls in hell,LØLØ
Take Me With You,Neck Deep
Confessions Of The Fallen,Staind
silent stranger,Against The Current
Nowhere To Go But Everywhere,Bush
Wasteland,TALK
Velvet Hippo,Superbloom
Wait,Day Aches
Taste The Sun,The Pale White
Safe Forever,Wayside
Landline,Sincere Engineer
Mercy,Rival Sons
Gun Fluf,Helmet
Heartbreak Kid,The Vaccines
Weekends and Workdays,Sea Girls
Wonder,The Rose
For You,Giant Rooks
Yours (feat. Bea Miller),Sueco
NEW LOVE,BOYS LIKE GIRLS
Candy Pop,AWOLNATION
Everything Sucks,Taylor Acorn
Frozen,Rain City Drive
Feeling The Same,Tarnish
Devil In Disguise,Eva Under Fire
Would You Come To My Funeral,Crawlers
Come on Heartache,The Menzingers
Can't Stand,The Grogans
If You Wanna,STONE
Share My Heat - Radio Edit,The Joy Formidable
The Replay,Future Humans
The Fear,Electric Enemy
Dog Days of Summer,Olivver the Kid
Friends With Your EX,Landon Barker
Kitty,Band of Silver
5 Things I Can Taste,Teenage Joans
Shit Just Got Real,Lost Stars
i suck at grieving,Lauran Hibberd
The Light In The Dark,Yvet Garden
The End Is Near,Starbenders
Dark Thoughts,The Funeral Portrait
Farewell,Talkless
Phone Machine,HotWax
PANIC,DIVEBAR YOUTH
Gum Up The Bearings,Jebediah
State of Mind,Ben Gillies
Homesick,DYE CRAP
Real Countdown,Ponta Preta
Summer of Love,Velvet Two Stripes
Storm,Cherie Amour
